"","zip","pop_total","pop_25","prop_hs","prop_sc","prop_b","prop_grad","hh_inc","f_inc","pc_inc"
"30706","90403",25087,20463,0.960807310755999,0.88638029614426,0.715437619117431,0.318135170796071,121512,172680,92220
"30707","90404",22881,18316,0.900196549464949,0.770637693819611,0.58577200262066,0.2065953264905,85081,102943,60373
"30708","90405",26809,21484,0.961785514801713,0.886427108545895,0.69833364364178,0.317073170731707,114489,165865,92485
"30709","90501",41319,28710,0.876210379658656,0.639811912225705,0.386973180076628,0.126332288401254,92815,110000,46029
"30710","90502",18114,14153,0.860029675687134,0.616830353988554,0.365081608139617,0.0999788030806189,98867,106683,42801
"30711","90503",43764,32571,0.963403027232814,0.806975530379786,0.553805532528937,0.20340179914648,119685,144527,58127
"30712","90504",33321,23762,0.91856746065146,0.725570238195438,0.453497180372023,0.120991499032068,105474,130685,47467
"30713","90505",35605,25306,0.965107089227851,0.819015253299613,0.587489133011934,0.211056666403225,110690,138172,58506
"30714","90506",0,0,NA,NA,NA,NA,NA,NA,NA
"30715","90601",30472,21982,0.877081248294059,0.617869165681012,0.311254662906014,0.109134746610863,102267,112716,44196
"30716","90602",25823,16140,0.84907063197026,0.534262701363073,0.215675340768278,0.0748451053283767,67259,76892,30657
"30717","90603",20361,14349,0.935117429786048,0.665481915116036,0.327479266847864,0.11108788068855,121222,132529,47272
"30718","90604",39378,26183,0.874536913264332,0.578581522361838,0.233663063820036,0.0818088072413398,101104,108327,35744
"30719","90605",39224,26221,0.828267419244117,0.549254414400671,0.229167461195225,0.0911864536058884,100825,107038,34042
"30720","90606",31881,22684,0.764415447011109,0.477517192734967,0.175718568153765,0.0465526362193617,94904,98000,31061
"30721","90620",46992,32648,0.857877971085518,0.625949522175937,0.325839255084538,0.0945540308747856,122582,124269,40531
"30722","90621",35735,24130,0.837297969332781,0.599751346871115,0.31496062992126,0.101367592208869,94679,91516,36422
"30723","90623",15369,11375,0.93810989010989,0.754461538461539,0.488175824175824,0.172043956043956,112366,123153,52158
"30724","90630",49565,34095,0.913829007185804,0.765977416043408,0.488957325120985,0.188356063938994,124360,141039,50167
"30725","90631",68615,48677,0.863775499722662,0.63872054563757,0.31969924194178,0.115290588984531,102208,107162,44864
"30726","90638",45714,32636,0.911263635249418,0.697420026964089,0.395789925235936,0.139140826081628,110606,123140,42726
"30727","90639",1714,80,1,1,0.6375,0.15,NA,NA,8833
"30728","90640",61615,43841,0.744576994137907,0.482447936862754,0.219999543806026,0.0674026596108665,74833,81664,32285
"30729","90650",100808,68472,0.772374109124898,0.490930599369085,0.213079799041944,0.0550590022198855,98709,104096,31966
"30730","90660",60821,41786,0.722107883023022,0.421528741683818,0.157540803139808,0.0375484612071029,86956,96043,31277
"30731","90670",18255,12748,0.799811735174145,0.548713523689991,0.233762158770003,0.0708346407279573,87830,95223,38484
"30732","90680",31949,22159,0.736405072431066,0.473126043594025,0.225822464912677,0.0709418295049416,83150,88844,38027
"30733","90701",16044,11470,0.771752397558849,0.557192676547515,0.317785527462947,0.0868352223190933,97712,101655,31357
"30734","90703",48607,36069,0.938035432088497,0.806398846655022,0.568715517480385,0.216668052898611,133300,142883,54719
"30735","90704",3764,2590,0.784169884169884,0.494208494208494,0.198841698841699,0.0266409266409266,91644,102529,39660
"30736","90706",77396,52559,0.783348237219125,0.517722939934169,0.200574592362868,0.0554044026712837,77602,83203,29633
"30737","90710",26777,18747,0.838054088654185,0.63380807595882,0.32170480610231,0.0990558489358297,77486,87970,39122
"30738","90712",30672,21055,0.923343623842318,0.704393255758727,0.369175967703633,0.118451674186654,119246,132914,46642
"30739","90713",28583,20674,0.92004450033859,0.711715197833027,0.322047015575119,0.106849182548128,129397,136241,49161
"30740","90715",20668,14354,0.856485996934652,0.596210115647206,0.276577957363801,0.0820677163160095,94796,100125,35066
"30741","90716",13743,8838,0.680696990269292,0.386965376782077,0.168250735460511,0.046051142792487,76235,77370,24914
"30742","90717",21319,15159,0.867999208391055,0.659806055808431,0.371924269410911,0.119269081073949,92984,120542,44662
"30743","90720",24021,16444,0.958221843833617,0.808684018486986,0.523291170031623,0.197762101678424,134232,166442,69503
"30744","90723",52546,33476,0.659039311745728,0.368353447245788,0.131288086987693,0.0339347592304935,70912,73699,24808
"30745","90731",62452,44445,0.81318483518956,0.563347958150523,0.253706828664642,0.0838564517943526,71936,82408,37546
"30746","90732",23104,17368,0.923767848917549,0.740730078304929,0.482726853984339,0.184937816674344,118658,142054,61020
"30747","90740",24382,20334,0.953919543621521,0.79999016425691,0.509983279236746,0.22091078981017,82427,150521,67693
"30748","90742",385,341,1,0.909090909090909,0.697947214076246,0.240469208211144,119115,178056,100992
"30749","90743",478,349,0.968481375358166,0.845272206303725,0.570200573065903,0.272206303724928,166023,190893,61236
"30750","90744",53678,33352,0.61831374430319,0.331824178460062,0.0944471096186136,0.0254857279923243,61440,68116,24302
"30751","90745",57952,41290,0.814507144587067,0.591329619762654,0.276362315330589,0.0674739646403488,106457,110804,36163
"30752","90746",27465,20239,0.899846830376995,0.686002272839567,0.346311576658926,0.117545333267454,113545,122638,44039
"30753","90747",17,0,NA,NA,NA,NA,NA,NA,NA
"30754","90755",11654,8971,0.880615316018281,0.744398617768365,0.382788986735035,0.139337866458589,102684,118026,52974
"30755","90802",39859,31489,0.884277049128267,0.747499126679158,0.437835434596208,0.160436977992315,72152,85577,53978
"30756","90803",31804,26807,0.953071958816727,0.868989443055918,0.611034431305256,0.251725295631738,111500,148239,81380
"30757","90804",38306,27135,0.748922056384743,0.563626312880044,0.298875990418279,0.0899576193108531,68940,64677,35321
"30758","90805",94631,60197,0.735651278302905,0.477249696828746,0.175008721364852,0.0445703274249547,68615,76384,27030
"30759","90806",39972,26946,0.718993542640837,0.49740221183107,0.219475989015067,0.0604542418169673,73674,75738,32353
"30760","90807",33320,24163,0.90348880519803,0.764226296403592,0.452303108057774,0.195422753797128,95079,130726,50198
"30761","90808",39351,28384,0.937746617812852,0.786041431792559,0.463253945885006,0.173830326944758,131959,150036,56743
"30762","90810",35648,24769,0.756187169445678,0.503976745124955,0.212160361742501,0.0463482579030239,82222,87865,29640
"30763","90813",51689,33600,0.627321428571429,0.418005952380952,0.158958333333333,0.0375595238095238,50302,59257,23093
"30764","90814",20676,15450,0.920776699029126,0.818964401294498,0.558640776699029,0.229061488673139,98070,145078,59080
"30765","90815",43461,28737,0.945540592267808,0.8162647457981,0.534746146083446,0.222744197376205,116567,144071,56198
"30766","90822",93,90,0.7,0.611111111111111,0.544444444444444,0.144444444444444,NA,NA,9639
"30767","90831",0,0,NA,NA,NA,NA,NA,NA,NA
"30768","90840",0,0,NA,NA,NA,NA,NA,NA,NA
"30769","91001",36402,27341,0.927215537105446,0.783950843056216,0.520975823854285,0.252404813284079,133840,158780,66407
"30770","91006",32106,23059,0.922719979183833,0.756364109458346,0.557352877401448,0.206773927750553,127511,142683,58787
"30771","91007",33141,24239,0.909979784644581,0.749577127769297,0.535046825364083,0.214117744131359,101762,124599,53335
"30772","91008",754,644,0.894409937888199,0.773291925465838,0.593167701863354,0.274844720496894,137500,139286,105934
"30773","91010",27245,20211,0.832566424224432,0.579535896294097,0.309385977932809,0.0983622779674435,98189,111500,37944
"30774","91011",20094,13328,0.975765306122449,0.910639255702281,0.754726890756303,0.384903961584634,221451,250001,101748
"30775","91016",41710,29974,0.902115166477614,0.718956428905051,0.439013811970374,0.175251884966971,99555,116673,46981
"30776","91020",7265,5337,0.913996627318718,0.724376990818812,0.50908750234214,0.218662169758291,60899,108068,44283
"30777","91024",11020,8651,0.98000231187146,0.900242746503294,0.654144029591955,0.348861403305976,141094,183559,83522
"30778","91030",26297,19061,0.970778028435024,0.902418550967945,0.726824405854887,0.33728555689628,128105,170272,76583
"30779","91040",21436,16194,0.871001605532913,0.622885019142892,0.313511176979128,0.0910213659380017,104719,112292,46246
"30780","91042",27055,20501,0.843714940734598,0.631139944392956,0.290668747865958,0.106385054387591,81707,102639,42540
"30781","91046",142,142,0.676056338028169,0.232394366197183,0.133802816901408,0.133802816901408,NA,NA,40193
"30782","91101",20814,17243,0.930232558139535,0.840399002493766,0.626631096676912,0.290262715304761,94180,127692,62923
"30783","91103",24910,18202,0.796341061421822,0.60570267003626,0.376552027249753,0.155422481046039,84683,91830,49360
"30784","91104",35595,26229,0.875595714666972,0.709901254336803,0.513477448625567,0.234435167181364,103052,118750,51847
"30785","91105",12546,10218,0.981307496574672,0.901644157369348,0.733020160501077,0.377373262869446,156835,230000,108828
"30786","91106",23217,17972,0.944079679501447,0.822000890273759,0.632038726908524,0.323447585132428,89213,136654,70291
"30787","91107",32944,25656,0.928164951668226,0.817742438415965,0.589179918927346,0.263525101340817,124880,160012,67561
"30788","91108",12464,9018,0.96451541361721,0.924151696606786,0.801729873586161,0.427367487247727,186023,231989,91431
"30789","91125",968,312,1,0.756410256410256,0.278846153846154,0.032051282051282,NA,NA,10837
"30790","91201",22261,15846,0.857692793133914,0.605957339391645,0.344250915057428,0.131642054777231,74980,91037,40291
"30791","91202",22258,17132,0.91407891664721,0.725017511090357,0.485757646509456,0.177737567125846,92343,111976,54229
"30792","91203",16482,12709,0.896923440081832,0.689668738689118,0.45794318986545,0.161460382406169,77925,82305,43645
"30793","91204",18847,14167,0.821063033810969,0.556645725982918,0.359073904143432,0.0921154796357733,72906,75802,35376
"30794","91205",34890,26242,0.839760688971877,0.615425653532505,0.391052511241521,0.128191448822498,59005,64467,33670
"30795","91206",32330,24835,0.902476343869539,0.698490034225891,0.465230521441514,0.154701026776726,86684,98411,48069
"30796","91207",10626,7927,0.947899583701274,0.7021571843068,0.51091207266305,0.233505739876372,108196,127944,64407
"30797","91208",15467,11249,0.950751177882478,0.842119299493288,0.620410703173615,0.261089874655525,131229,151060,65179
"30798","91210",334,287,0.944250871080139,0.731707317073171,0.630662020905923,0.278745644599303,102721,96641,117891
"30799","91214",31707,21513,0.967182633756333,0.822572398084879,0.591688746339423,0.261237391344768,131716,159555,58032
"30800","91301",24477,17297,0.970168237266578,0.877435393420824,0.657397236515003,0.266462392322368,166912,208292,82451
"30801","91302",26205,18156,0.977417933465521,0.902070940735845,0.709131967393699,0.336913417052214,167470,213456,104185
"30802","91303",29522,20676,0.767363126330044,0.519201005997292,0.246952988972722,0.070274714644999,76051,74707,33013
"30803","91304",53794,38109,0.826891285523105,0.632790154556666,0.336036106956362,0.119499330866724,82289,93702,40965
"30804","91306",48177,33372,0.78589835790483,0.5605597506892,0.308582044828,0.0910044348555675,88958,98292,35594
"30805","91307",25823,17997,0.928321386897816,0.76746124354059,0.51036283825082,0.198533088848141,136154,153858,61627
